original_row,Human Numeric Score,Judge 1 Model Name,Judge 1 Evaluation,Judge 2 Model Name,Judge 2 Evaluation,Judge 3 Model Name,Judge 3 Evaluation,Judge 4 Model Name,Judge 4 Evaluation
222,20,GEMMA,Midway,QWEN,Wrong,LLAMA,Midway,GPT,Midway
224,20,GEMMA,Correct,QWEN,Wrong,LLAMA,Correct,GPT,Wrong
225,78,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
226,88,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
227,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
228,20,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Correct
240,40,GEMMA,Midway,QWEN,Correct,LLAMA,Midway,GPT,Correct
242,20,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Wrong
243,0,GEMMA,Correct,QWEN,Wrong,LLAMA,Correct,GPT,Wrong
247,80,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
249,92,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
252,92,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
258,72,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
259,40,GEMMA,Wrong,QWEN,Correct,LLAMA,Correct,GPT,Correct
263,20,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Midway
266,10,GEMMA,Correct,QWEN,Correct,LLAMA,Wrong,GPT,Wrong
272,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
280,100,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
283,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Correct,GPT,Correct
288,40,GEMMA,Midway,QWEN,Correct,LLAMA,Wrong,GPT,Wrong
289,90,GEMMA,Correct,QWEN,Correct,LLAMA,Wrong,GPT,Correct
293,0,GEMMA,Correct,QWEN,Wrong,LLAMA,Correct,GPT,Correct
308,90,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
311,92,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
313,76,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Wrong
323,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
329,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
347,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
351,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
359,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
371,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
377,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
383,0,GEMMA,Correct,QWEN,Wrong,LLAMA,Wrong,GPT,Correct
388,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Correct
394,40,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Wrong
416,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
419,70,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
422,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
423,0,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
424,0,GEMMA,Correct,QWEN,Midway,LLAMA,Midway,GPT,Correct
425,0,GEMMA,Correct,QWEN,Correct,LLAMA,Midway,GPT,Correct
427,0,GEMMA,Midway,QWEN,Wrong,LLAMA,Midway,GPT,ERROR
432,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Correct,GPT,Wrong
435,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Correct
441,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Midway
449,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Wrong,GPT,Correct
451,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Wrong,GPT,Wrong
462,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Midway
465,0,GEMMA,Midway,QWEN,Wrong,LLAMA,Midway,GPT,Wrong
468,0,GEMMA,Wrong,QWEN,Wrong,LLAMA,Midway,GPT,Wrong
469,0,GEMMA,Wrong,QWEN,Correct,LLAMA,Correct,GPT,Wrong
474,0,GEMMA,Correct,QWEN,Wrong,LLAMA,Midway,GPT,Wrong
