original_row,Judge 1 Model Name,Judge 1 Numeric Score,Judge 1 delta score,Judge 2 Model Name,Judge 2 Numeric Score,Judge 2 delta score,Judge 3 Model Name,Judge 3 Numeric Score,Judge 3 delta score,Judge 4 Model Name,Judge 4 Numeric Score,Judge 4 delta score
249,GEMMA,1.0,0.08,QWEN,1.0,0.08,LLAMA,0.8,-0.12,GPT,0.9,-0.02
252,GEMMA,1.0,0.08,QWEN,1.0,0.08,LLAMA,0.9,-0.02,GPT,0.9,-0.02
258,GEMMA,1.0,0.28,QWEN,1.0,0.28,LLAMA,1.0,0.28,GPT,0.9,0.18
259,GEMMA,1.0,0.6,QWEN,1.0,0.6,LLAMA,0.8,0.4,GPT,0.2,-0.2
263,GEMMA,0.0,-0.2,QWEN,0.0,-0.2,LLAMA,0.6,0.4,GPT,0.6,0.4
266,GEMMA,0.9,0.8,QWEN,1.0,0.9,LLAMA,0.6,0.5,GPT,0.6,0.5
272,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
280,GEMMA,0.7,-0.3,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,0.6,-0.4
283,GEMMA,0.0,0.0,QWEN,0.0,0.0,LLAMA,0.6,0.6,GPT,0.9,0.9
288,GEMMA,0.3,-0.1,QWEN,1.0,0.6,LLAMA,0.0,-0.4,GPT,0.2,-0.2
289,GEMMA,1.0,0.1,QWEN,1.0,0.1,LLAMA,0.0,-0.9,GPT,0.9,0.0
293,GEMMA,0.0,0.0,QWEN,1.0,1.0,LLAMA,0.8,0.8,GPT,0.3,0.3
308,GEMMA,1.0,0.1,QWEN,1.0,0.1,LLAMA,1.0,0.1,GPT,0.9,0.0
311,GEMMA,0.5,-0.42,QWEN,1.0,0.08,LLAMA,1.0,0.08,GPT,0.9,-0.02
313,GEMMA,0.5,-0.26,QWEN,1.0,0.24,LLAMA,0.8,0.04,GPT,0.7,-0.06
323,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.9,-0.1,GPT,1.0,0.0
329,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,1.0,0.0
347,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
351,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
359,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,0.9,-0.1
371,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,1.0,0.0
377,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
383,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.8,0.8,GPT,0.9,0.9
388,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.9,0.9
394,GEMMA,0.5,0.1,QWEN,1.0,0.6,LLAMA,0.8,0.4,GPT,0.3,-0.1
416,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
419,GEMMA,0.7,0.0,QWEN,1.0,0.3,LLAMA,0.8,0.1,GPT,0.5,-0.2
422,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
423,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.9,0.9
424,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.95,0.95
425,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.9,0.9
427,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.6,0.6,GPT,0.9,0.9
432,GEMMA,0.5,0.5,QWEN,0.0,0.0,LLAMA,1.0,1.0,GPT,0.3,0.3
435,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.6,0.6,GPT,0.3,0.3
441,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.6,0.6,GPT,1.0,1.0
449,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.2,0.2
451,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.2,0.2
462,GEMMA,0.5,0.5,QWEN,0.0,0.0,LLAMA,0.6,0.6,GPT,0.6,0.6
465,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.8,0.8,GPT,0.9,0.9
468,GEMMA,0.0,0.0,QWEN,0.0,0.0,LLAMA,0.6,0.6,GPT,0.4,0.4
469,GEMMA,0.5,0.5,QWEN,1.0,1.0,LLAMA,0.8,0.8,GPT,0.2,0.2
474,GEMMA,1.0,1.0,QWEN,1.0,1.0,LLAMA,0.6,0.6,GPT,0.2,0.2
