original_row,Judge 1 Model Name,Judge 1 Numeric Score,Judge 1 delta score,Judge 2 Model Name,Judge 2 Numeric Score,Judge 2 delta score,Judge 3 Model Name,Judge 3 Numeric Score,Judge 3 delta score,Judge 4 Model Name,Judge 4 Numeric Score,Judge 4 delta score
226,GEMMA,10,1.2,QWEN,0,-8.8,LLAMA,6,-2.8,GPT,7,-1.8
227,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,6,-4.0,GPT,10,0.0
228,GEMMA,10,8.0,QWEN,10,8.0,LLAMA,6,4.0,GPT,9,7.0
240,GEMMA,10,6.0,QWEN,10,6.0,LLAMA,6,2.0,GPT,9,5.0
242,GEMMA,0,-2.0,QWEN,2,0.0,LLAMA,7,5.0,GPT,7,5.0
243,GEMMA,10,10.0,QWEN,2,2.0,LLAMA,0,0.0,GPT,3,3.0
247,GEMMA,9,1.0,QWEN,10,2.0,LLAMA,8,0.0,GPT,9,1.0
249,GEMMA,10,0.8,QWEN,10,0.8,LLAMA,10,0.8,GPT,9,-0.2
252,GEMMA,10,0.8,QWEN,10,0.8,LLAMA,10,0.8,GPT,9,-0.2
258,GEMMA,10,2.8,QWEN,10,2.8,LLAMA,6,-1.2,GPT,10,2.8
259,GEMMA,0,-4.0,QWEN,10,6.0,LLAMA,10,6.0,GPT,9,5.0
263,GEMMA,0,-2.0,QWEN,1,-1.0,LLAMA,6,4.0,GPT,9,7.0
266,GEMMA,9,8.0,QWEN,10,9.0,LLAMA,8,7.0,GPT,9,8.0
272,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
280,GEMMA,7,-3.0,QWEN,9,-1.0,LLAMA,9,-1.0,GPT,6,-4.0
283,GEMMA,0,0.0,QWEN,0,0.0,LLAMA,6,6.0,GPT,9,9.0
288,GEMMA,3,-1.0,QWEN,0,-4.0,LLAMA,6,2.0,GPT,2,-2.0
289,GEMMA,10,1.0,QWEN,10,1.0,LLAMA,7,-2.0,GPT,10,1.0
293,GEMMA,0,0.0,QWEN,0,0.0,LLAMA,10,10.0,GPT,9,9.0
308,GEMMA,10,1.0,QWEN,10,1.0,LLAMA,10,1.0,GPT,5,-4.0
311,GEMMA,6,-3.2,QWEN,10,0.8,LLAMA,10,0.8,GPT,6,-3.2
313,GEMMA,9,1.4,QWEN,10,2.4,LLAMA,0,-7.6,GPT,9,1.4
323,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,8,-2.0,GPT,10,0.0
329,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
347,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
351,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
359,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,9,-1.0,GPT,10,0.0
371,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,5,-5.0,GPT,10,0.0
377,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,8,-2.0,GPT,10,0.0
383,GEMMA,2,2.0,QWEN,0,0.0,LLAMA,0,0.0,GPT,6,6.0
388,GEMMA,5,5.0,QWEN,1,1.0,LLAMA,2,2.0,GPT,7,7.0
394,GEMMA,4,0.0,QWEN,10,6.0,LLAMA,10,6.0,GPT,9,5.0
416,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
419,GEMMA,9,2.0,QWEN,10,3.0,LLAMA,10,3.0,GPT,7,0.0
422,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
423,GEMMA,10,10.0,QWEN,3,3.0,LLAMA,3,3.0,GPT,9,9.0
424,GEMMA,9,9.0,QWEN,10,10.0,LLAMA,10,10.0,GPT,10,10.0
425,GEMMA,10,10.0,QWEN,10,10.0,LLAMA,4,4.0,GPT,10,10.0
427,GEMMA,10,10.0,QWEN,0,0.0,LLAMA,4,4.0,GPT,5,5.0
432,GEMMA,3,3.0,QWEN,0,0.0,LLAMA,8,8.0,GPT,2,2.0
435,GEMMA,7,7.0,QWEN,10,10.0,LLAMA,9,9.0,GPT,9,9.0
441,GEMMA,0,0.0,QWEN,0,0.0,LLAMA,6,6.0,GPT,9,9.0
449,GEMMA,0,0.0,QWEN,10,10.0,LLAMA,10,10.0,GPT,9,9.0
451,GEMMA,10,10.0,QWEN,10,10.0,LLAMA,5,5.0,GPT,10,10.0
462,GEMMA,5,5.0,QWEN,0,0.0,LLAMA,2,2.0,GPT,4,4.0
465,GEMMA,10,10.0,QWEN,0,0.0,LLAMA,10,10.0,GPT,5,5.0
468,GEMMA,2,2.0,QWEN,2,2.0,LLAMA,6,6.0,GPT,5,5.0
469,GEMMA,0,0.0,QWEN,10,10.0,LLAMA,10,10.0,GPT,3,3.0
474,GEMMA,10,10.0,QWEN,2,2.0,LLAMA,0,0.0,GPT,4,4.0
